epoch,train_loss,train_acc,val_loss,val_acc,val_auc
1,0.16751428915304797,0.9250357142857143,0.12951908467213313,0.9488333333333333,0.9961393022222224
2,0.0515563755363492,0.9794857142857143,0.02320835354673521,0.9909,0.9997983022222221
3,0.030588803193033007,0.9889928571428571,0.016022321930919618,0.9939,0.999840151111111
4,0.020291421899680116,0.9930214285714286,0.044893276248073016,0.9878,0.9998699488888889
5,0.015312161774583884,0.9952214285714286,0.022300454752426594,0.9917666666666667,0.9999411111111112
6,0.013210215867872466,0.9960071428571429,0.007674138914828654,0.9974666666666666,0.9999601911111112
7,0.009754773432401453,0.99705,0.010602353977915481,0.9959,0.9999617155555555
8,0.008339615313697686,0.9975142857142857,0.012256201160978525,0.9961333333333333,0.9999625777777778
9,0.007882461295989924,0.9976,0.004324539555940282,0.9987333333333334,0.9999818444444445
10,0.006916375784554618,0.99805,0.003294173330412942,0.9990666666666667,0.9999944355555556
11,0.0052834154768735195,0.9983714285714286,0.0029935208613652018,0.9991333333333333,0.9999964355555555
12,0.004594691611530237,0.9987071428571429,0.004321275457889138,0.9985333333333334,0.9999896
13,0.0039308611900939075,0.9988642857142858,0.004367306805038242,0.9983333333333333,0.9999907022222222
14,0.003635537781197812,0.9990071428571429,0.0027373835941987097,0.9993333333333333,0.9999952711111112
15,0.003266429318687728,0.9991571428571429,0.0031358062421030985,0.9993666666666666,0.9999923244444444
16,0.002631553839843309,0.9992928571428571,0.003664187133637287,0.9989666666666667,0.9999958755555556
17,0.002141426062387362,0.9994357142857143,0.001133897535379458,0.9997333333333334,0.9999972222222222
18,0.0017531740105419748,0.9995142857142857,0.001982223974420352,0.9992,0.9999984711111111
19,0.0013781059821761496,0.9996857142857143,0.0010369281379345823,0.9995666666666667,0.9999996444444444
20,0.0014799833722495773,0.9996571428571429,0.0009478323706363006,0.9997333333333334,0.9999997555555555
21,0.0010317533877260217,0.9997142857142857,0.0009585846947102475,0.9997333333333334,0.9999996266666666
22,0.0007958734873048099,0.9997714285714285,0.0008476447909208112,0.9998,0.9999997777777777
23,0.0005906803298872803,0.9998642857142858,0.0009173828606017605,0.9997666666666667,0.9999998
24,0.0006943110016947399,0.9998214285714285,0.0006124666823997759,0.9998,0.9999998666666666
25,0.00039138583421964536,0.9998785714285714,0.0007240778134896061,0.9998333333333334,0.9999999022222222
26,0.0003415507576833327,0.9999214285714285,0.0005686429592813766,0.9998333333333334,0.9999999244444445
27,0.0003712777119484962,0.9998857142857143,0.0006367509232815578,0.9998333333333334,0.9999999244444446
28,0.0003209259784442603,0.9999357142857143,0.0006379589542421165,0.9998,0.9999999111111112
29,0.00032728928005123966,0.9999142857142858,0.0006688574807630937,0.9998333333333334,0.9999999022222222
30,0.0004504731735452434,0.9999142857142858,0.0006763761915978359,0.9998333333333334,0.9999998977777779
